         4367970 function calls (4302457 primitive calls) in 316.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
  817/217    0.002    0.000    0.904    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     2296    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
      962    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      962    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
      962    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2296    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      954    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
     1334    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   1196/8    0.001    0.000    1.936    0.242 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     8330    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
      954    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      848    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1749    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:376(cached)
     2013    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
     1091    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
        9    0.000    0.000    0.089    0.010 <frozen importlib._bootstrap>:406(spec_from_loader)
      912    0.004    0.000    0.024    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  912/910    0.002    0.000    0.790    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(_module_repr_from_spec)
      954    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
    912/8    0.005    0.000    1.936    0.242 <frozen importlib._bootstrap>:650(_load_unlocked)
      947    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     2296    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
      942    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
     3816    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:863(__enter__)
     3816    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
  947/909    0.008    0.000    0.223    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    961/5    0.004    0.000    1.938    0.388 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    962/5    0.005    0.000    1.938    0.388 <frozen importlib._bootstrap>:986(_find_and_load)
      848    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1024(get_filename)
      847    0.008    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(get_resource_reader)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1050(resource_path)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1056(is_resource)
      847    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1070(path_stats)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1148(__init__)
    55/54    0.000    0.000    0.762    0.014 <frozen importlib._bootstrap_external>:1164(create_module)
    55/51    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(__init__)
     8033    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1211(_find_parent_path_names)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1221(_get_parent_path)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_recalculate)
     8033    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1238(__iter__)
     1697    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1286(exec_module)
     3394    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      124    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
     1609    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     3888    0.002    0.000    0.082    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
  943/942    0.004    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      942    0.001    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1436(find_distributions)
     1468    0.002    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      125    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      996    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      902    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1449    0.013    0.000    0.113    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     1341    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      125    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      127    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      124    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     1694    0.006    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      902    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
  849/848    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      847    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      847    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      847    0.002    0.000    0.071    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     1449    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      902    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     2541    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:826(is_package)
      847    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:834(create_module)
    847/5    0.002    0.000    1.926    0.385 <frozen importlib._bootstrap_external>:837(exec_module)
      847    0.010    0.000    0.147    0.000 <frozen importlib._bootstrap_external>:909(get_code)
      847    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:999(__init__)
      124    0.001    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
     1292    0.000    0.000    0.001    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.046    0.046 Numbers.py:31(<module>)
        1    0.000    0.000    0.000    0.000 Primality.py:31(<module>)
        1    0.000    0.000    0.047    0.047 RSA.py:32(<module>)
